Time,Watering intensity,Shutters,UV-Lamps,Heating
Wed Oct 28 12:00:00 CET 2020,0,1,0,1
Wed Oct 28 13:00:00 CET 2020,0,1,0,1
Wed Oct 28 14:00:00 CET 2020,0,1,0,1
Wed Oct 28 15:00:00 CET 2020,0,1,0,1
Wed Oct 28 16:00:00 CET 2020,0,1,0,1
Wed Oct 28 17:00:00 CET 2020,0,1,0,1
Wed Oct 28 18:00:00 CET 2020,0,1,1,1
Wed Oct 28 19:00:00 CET 2020,0,1,1,1
Wed Oct 28 20:00:00 CET 2020,0,1,1,1
Wed Oct 28 21:00:00 CET 2020,0,1,1,1
Wed Oct 28 22:00:00 CET 2020,0,1,1,1
Wed Oct 28 23:00:00 CET 2020,0,1,1,1
Thu Oct 29 00:00:00 CET 2020,0,1,1,1
Thu Oct 29 01:00:00 CET 2020,0,1,0,1
Thu Oct 29 02:00:00 CET 2020,0,1,0,1
Thu Oct 29 03:00:00 CET 2020,0,1,0,1
Thu Oct 29 04:00:00 CET 2020,0,1,0,1
Thu Oct 29 05:00:00 CET 2020,0,1,0,1
Thu Oct 29 06:00:00 CET 2020,0,1,0,1
Thu Oct 29 07:00:00 CET 2020,0,1,0,1
Thu Oct 29 08:00:00 CET 2020,0,1,0,1
Thu Oct 29 09:00:00 CET 2020,0,1,0,1
Thu Oct 29 10:00:00 CET 2020,0,1,0,1
Thu Oct 29 11:00:00 CET 2020,0,1,0,1
Thu Oct 29 12:00:00 CET 2020,0,1,0,1
Thu Oct 29 13:00:00 CET 2020,0,1,0,1
Thu Oct 29 14:00:00 CET 2020,0,1,0,1
Thu Oct 29 15:00:00 CET 2020,0,1,0,1
Thu Oct 29 16:00:00 CET 2020,0,1,0,1
Thu Oct 29 17:00:00 CET 2020,0,1,0,1
Thu Oct 29 18:00:00 CET 2020,0,1,1,1
Thu Oct 29 19:00:00 CET 2020,0,1,1,1
Thu Oct 29 20:00:00 CET 2020,0,1,1,1
Thu Oct 29 21:00:00 CET 2020,0,1,1,1
Thu Oct 29 22:00:00 CET 2020,0,1,1,1
Thu Oct 29 23:00:00 CET 2020,0,1,1,1
Fri Oct 30 00:00:00 CET 2020,0,1,1,1
Fri Oct 30 01:00:00 CET 2020,0,1,1,1
Fri Oct 30 02:00:00 CET 2020,0,1,0,1
Fri Oct 30 03:00:00 CET 2020,0,1,0,1
