Time,Watering intensity,Shutters,UV-Lamps,Heating
Tue Sep 08 21:00:00 CEST 2020,0,1,1,1
Tue Sep 08 22:00:00 CEST 2020,0,1,1,1
Tue Sep 08 23:00:00 CEST 2020,0,1,1,1
Wed Sep 09 00:00:00 CEST 2020,0,1,1,1
Wed Sep 09 01:00:00 CEST 2020,0,1,1,1
Wed Sep 09 02:00:00 CEST 2020,0,1,1,1
Wed Sep 09 03:00:00 CEST 2020,0,1,1,1
Wed Sep 09 04:00:00 CEST 2020,0,1,1,1
Wed Sep 09 05:00:00 CEST 2020,0,1,0,1
Wed Sep 09 06:00:00 CEST 2020,0,1,0,1
Wed Sep 09 07:00:00 CEST 2020,0,1,0,1
Wed Sep 09 08:00:00 CEST 2020,0,1,0,1
Wed Sep 09 09:00:00 CEST 2020,0,0,0,1
Wed Sep 09 10:00:00 CEST 2020,0,1,0,1
Wed Sep 09 11:00:00 CEST 2020,0,1,0,1
Wed Sep 09 12:00:00 CEST 2020,0,1,0,1
Wed Sep 09 13:00:00 CEST 2020,0,1,0,1
Wed Sep 09 14:00:00 CEST 2020,0,1,0,1
Wed Sep 09 15:00:00 CEST 2020,0,1,0,0
Wed Sep 09 16:00:00 CEST 2020,0,1,0,0
Wed Sep 09 17:00:00 CEST 2020,0,1,0,0
Wed Sep 09 18:00:00 CEST 2020,0,1,0,0
Wed Sep 09 19:00:00 CEST 2020,0,0,0,1
Wed Sep 09 20:00:00 CEST 2020,0,1,0,1
Wed Sep 09 21:00:00 CEST 2020,0,1,0,1
Wed Sep 09 22:00:00 CEST 2020,0,1,0,1
Wed Sep 09 23:00:00 CEST 2020,0,1,0,1
Thu Sep 10 00:00:00 CEST 2020,0,1,0,1
Thu Sep 10 01:00:00 CEST 2020,0,1,0,1
Thu Sep 10 02:00:00 CEST 2020,0,1,0,1
Thu Sep 10 03:00:00 CEST 2020,0,1,0,1
Thu Sep 10 04:00:00 CEST 2020,0,1,0,1
Thu Sep 10 05:00:00 CEST 2020,0,1,0,1
Thu Sep 10 06:00:00 CEST 2020,0,1,0,1
Thu Sep 10 07:00:00 CEST 2020,0,1,0,1
Thu Sep 10 08:00:00 CEST 2020,0,1,0,1
Thu Sep 10 09:00:00 CEST 2020,0,1,0,1
Thu Sep 10 10:00:00 CEST 2020,0,1,0,1
Thu Sep 10 11:00:00 CEST 2020,0,1,0,1
Thu Sep 10 12:00:00 CEST 2020,0,1,0,1
Thu Sep 10 13:00:00 CEST 2020,0,1,0,1
Thu Sep 10 14:00:00 CEST 2020,0,1,0,1
Thu Sep 10 15:00:00 CEST 2020,0,1,0,1
Thu Sep 10 16:00:00 CEST 2020,0,1,0,1
Thu Sep 10 17:00:00 CEST 2020,0,1,0,1
Thu Sep 10 18:00:00 CEST 2020,0,1,0,1
Thu Sep 10 19:00:00 CEST 2020,0,1,0,1
Thu Sep 10 20:00:00 CEST 2020,0,1,1,1
Thu Sep 10 21:00:00 CEST 2020,0,0,1,1
Thu Sep 10 22:00:00 CEST 2020,0,1,1,1
Thu Sep 10 23:00:00 CEST 2020,0,1,1,1
Fri Sep 11 00:00:00 CEST 2020,0,1,1,1
Fri Sep 11 01:00:00 CEST 2020,0,1,1,1
Fri Sep 11 02:00:00 CEST 2020,0,1,1,1
Fri Sep 11 03:00:00 CEST 2020,0,1,1,1
Fri Sep 11 04:00:00 CEST 2020,0,1,0,1
Fri Sep 11 05:00:00 CEST 2020,0,1,0,1
Fri Sep 11 06:00:00 CEST 2020,0,1,0,1
Fri Sep 11 07:00:00 CEST 2020,0,1,0,1
Fri Sep 11 08:00:00 CEST 2020,0,1,0,1
Fri Sep 11 09:00:00 CEST 2020,0,1,0,1
Fri Sep 11 10:00:00 CEST 2020,0,1,0,1
Fri Sep 11 11:00:00 CEST 2020,0,1,0,1
Fri Sep 11 12:00:00 CEST 2020,0,1,0,1
Fri Sep 11 13:00:00 CEST 2020,0,1,0,1
Fri Sep 11 14:00:00 CEST 2020,0,1,0,1
Fri Sep 11 15:00:00 CEST 2020,0,1,0,1
Fri Sep 11 16:00:00 CEST 2020,0,1,0,1
Fri Sep 11 17:00:00 CEST 2020,0,1,0,1
Fri Sep 11 18:00:00 CEST 2020,0,1,0,1
Fri Sep 11 19:00:00 CEST 2020,0,1,0,1
Fri Sep 11 20:00:00 CEST 2020,0,1,1,1
Fri Sep 11 21:00:00 CEST 2020,0,1,1,1
Fri Sep 11 22:00:00 CEST 2020,0,1,1,1
Fri Sep 11 23:00:00 CEST 2020,0,1,0,1
Sat Sep 12 00:00:00 CEST 2020,0,1,0,1
Sat Sep 12 01:00:00 CEST 2020,0,1,0,1
Sat Sep 12 02:00:00 CEST 2020,0,1,0,1
Sat Sep 12 03:00:00 CEST 2020,0,1,0,1
Sat Sep 12 04:00:00 CEST 2020,0,1,0,1
Sat Sep 12 05:00:00 CEST 2020,0,1,0,1
Sat Sep 12 06:00:00 CEST 2020,0,1,0,1
Sat Sep 12 07:00:00 CEST 2020,0,1,0,1
Sat Sep 12 08:00:00 CEST 2020,0,1,0,1
Sat Sep 12 09:00:00 CEST 2020,0,1,0,1
Sat Sep 12 10:00:00 CEST 2020,0,1,0,1
Sat Sep 12 11:00:00 CEST 2020,0,1,0,1
Sat Sep 12 12:00:00 CEST 2020,0,1,0,1
Sat Sep 12 13:00:00 CEST 2020,0,1,0,1
Sat Sep 12 14:00:00 CEST 2020,0,1,0,1
Sat Sep 12 15:00:00 CEST 2020,0,1,0,1
Sat Sep 12 16:00:00 CEST 2020,0,1,0,1
Sat Sep 12 17:00:00 CEST 2020,0,1,0,0
Sat Sep 12 18:00:00 CEST 2020,0,1,0,0
Sat Sep 12 19:00:00 CEST 2020,0,1,0,0
Sat Sep 12 20:00:00 CEST 2020,0,1,1,1
