Time,Watering intensity,Shutters,UV-Lamps,Heating
Fri Oct 16 15:00:00 CEST 2020,0,1,0,1
Fri Oct 16 16:00:00 CEST 2020,0,1,0,1
Fri Oct 16 17:00:00 CEST 2020,0,1,0,1
Fri Oct 16 18:00:00 CEST 2020,0,1,0,1
Fri Oct 16 19:00:00 CEST 2020,0,1,1,1
Fri Oct 16 20:00:00 CEST 2020,0,1,1,1
Fri Oct 16 21:00:00 CEST 2020,0,1,1,1
Fri Oct 16 22:00:00 CEST 2020,0,1,1,1
Fri Oct 16 23:00:00 CEST 2020,0,1,1,1
Sat Oct 17 00:00:00 CEST 2020,0,1,1,1
Sat Oct 17 01:00:00 CEST 2020,0,1,1,1
Sat Oct 17 02:00:00 CEST 2020,0,1,0,1
Sat Oct 17 03:00:00 CEST 2020,0,1,0,1
Sat Oct 17 04:00:00 CEST 2020,0,1,0,1
Sat Oct 17 05:00:00 CEST 2020,0,1,0,1
Sat Oct 17 06:00:00 CEST 2020,0,1,0,1
Sat Oct 17 07:00:00 CEST 2020,0,1,0,1
Sat Oct 17 08:00:00 CEST 2020,0,1,0,1
Sat Oct 17 09:00:00 CEST 2020,0,1,0,1
Sat Oct 17 10:00:00 CEST 2020,0,1,0,1
Sat Oct 17 11:00:00 CEST 2020,0,1,0,1
Sat Oct 17 12:00:00 CEST 2020,2,1,0,1
Sat Oct 17 13:00:00 CEST 2020,0,1,0,1
Sat Oct 17 14:00:00 CEST 2020,0,1,0,1
Sat Oct 17 15:00:00 CEST 2020,0,1,0,1
Sat Oct 17 16:00:00 CEST 2020,0,1,0,1
Sat Oct 17 17:00:00 CEST 2020,0,1,0,1
Sat Oct 17 18:00:00 CEST 2020,0,1,0,1
Sat Oct 17 19:00:00 CEST 2020,0,1,1,1
Sat Oct 17 20:00:00 CEST 2020,0,1,1,1
Sat Oct 17 21:00:00 CEST 2020,0,1,1,1
Sat Oct 17 22:00:00 CEST 2020,0,1,1,1
Sat Oct 17 23:00:00 CEST 2020,0,1,1,1
Sun Oct 18 00:00:00 CEST 2020,0,0,0,1
Sun Oct 18 01:00:00 CEST 2020,0,1,0,1
Sun Oct 18 02:00:00 CEST 2020,0,1,0,1
Sun Oct 18 03:00:00 CEST 2020,0,1,0,1
Sun Oct 18 04:00:00 CEST 2020,0,1,0,1
Sun Oct 18 05:00:00 CEST 2020,0,1,0,1
Sun Oct 18 06:00:00 CEST 2020,0,1,0,1
Sun Oct 18 07:00:00 CEST 2020,0,0,0,1
Sun Oct 18 08:00:00 CEST 2020,0,1,0,1
Sun Oct 18 09:00:00 CEST 2020,0,1,0,1
Sun Oct 18 10:00:00 CEST 2020,0,1,0,1
Sun Oct 18 11:00:00 CEST 2020,0,1,0,1
Sun Oct 18 12:00:00 CEST 2020,0,1,0,1
Sun Oct 18 13:00:00 CEST 2020,0,1,0,1
