Time,Watering intensity,Shutters,UV-Lamps,Heating
Thu Sep 10 09:00:00 CEST 2020,0,1,0,1
Thu Sep 10 10:00:00 CEST 2020,0,1,0,1
Thu Sep 10 11:00:00 CEST 2020,0,0,0,1
Thu Sep 10 12:00:00 CEST 2020,0,0,0,1
Thu Sep 10 13:00:00 CEST 2020,0,1,0,1
Thu Sep 10 14:00:00 CEST 2020,0,1,0,1
Thu Sep 10 15:00:00 CEST 2020,0,0,0,1
Thu Sep 10 16:00:00 CEST 2020,0,1,0,1
Thu Sep 10 17:00:00 CEST 2020,0,0,0,1
Thu Sep 10 18:00:00 CEST 2020,0,1,0,1
Thu Sep 10 19:00:00 CEST 2020,0,1,0,1
Thu Sep 10 20:00:00 CEST 2020,0,1,1,1
Thu Sep 10 21:00:00 CEST 2020,0,1,1,1
Thu Sep 10 22:00:00 CEST 2020,0,1,1,1
Thu Sep 10 23:00:00 CEST 2020,0,1,1,1
Fri Sep 11 00:00:00 CEST 2020,0,1,1,1
Fri Sep 11 01:00:00 CEST 2020,0,1,1,1
Fri Sep 11 02:00:00 CEST 2020,0,0,1,1
Fri Sep 11 03:00:00 CEST 2020,0,1,0,1
Fri Sep 11 04:00:00 CEST 2020,0,1,0,1
Fri Sep 11 05:00:00 CEST 2020,0,1,0,1
Fri Sep 11 06:00:00 CEST 2020,0,1,0,1
Fri Sep 11 07:00:00 CEST 2020,0,0,0,1
Fri Sep 11 08:00:00 CEST 2020,0,1,0,1
Fri Sep 11 09:00:00 CEST 2020,0,1,0,1
Fri Sep 11 10:00:00 CEST 2020,0,1,0,1
Fri Sep 11 11:00:00 CEST 2020,0,1,0,1
Fri Sep 11 12:00:00 CEST 2020,0,1,0,1
Fri Sep 11 13:00:00 CEST 2020,0,1,0,1
Fri Sep 11 14:00:00 CEST 2020,0,1,0,1
Fri Sep 11 15:00:00 CEST 2020,0,1,0,0
Fri Sep 11 16:00:00 CEST 2020,0,1,0,0
Fri Sep 11 17:00:00 CEST 2020,0,1,0,0
Fri Sep 11 18:00:00 CEST 2020,0,1,0,0
Fri Sep 11 19:00:00 CEST 2020,0,1,0,1
Fri Sep 11 20:00:00 CEST 2020,0,1,0,1
