Time,Watering intensity,Shutters,UV-Lamps,Heating
Wed Sep 23 09:00:00 CEST 2020,0,1,0,1
Wed Sep 23 10:00:00 CEST 2020,0,1,0,1
Wed Sep 23 11:00:00 CEST 2020,0,1,0,1
Wed Sep 23 12:00:00 CEST 2020,0,1,0,1
Wed Sep 23 13:00:00 CEST 2020,0,1,0,1
Wed Sep 23 14:00:00 CEST 2020,0,1,0,1
Wed Sep 23 15:00:00 CEST 2020,0,1,0,1
Wed Sep 23 16:00:00 CEST 2020,0,1,0,1
Wed Sep 23 17:00:00 CEST 2020,0,1,0,1
Wed Sep 23 18:00:00 CEST 2020,0,1,0,1
Wed Sep 23 19:00:00 CEST 2020,0,1,0,1
Wed Sep 23 20:00:00 CEST 2020,0,1,1,1
Wed Sep 23 21:00:00 CEST 2020,0,1,1,1
Wed Sep 23 22:00:00 CEST 2020,0,1,1,1
Wed Sep 23 23:00:00 CEST 2020,0,1,0,1
Thu Sep 24 00:00:00 CEST 2020,0,1,0,1
Thu Sep 24 01:00:00 CEST 2020,0,1,0,1
Thu Sep 24 02:00:00 CEST 2020,0,1,0,1
Thu Sep 24 03:00:00 CEST 2020,0,1,0,1
Thu Sep 24 04:00:00 CEST 2020,0,1,0,1
Thu Sep 24 05:00:00 CEST 2020,0,1,0,1
Thu Sep 24 06:00:00 CEST 2020,0,1,0,1
Thu Sep 24 07:00:00 CEST 2020,0,1,0,1
Thu Sep 24 08:00:00 CEST 2020,0,1,0,1
Thu Sep 24 09:00:00 CEST 2020,0,1,0,1
Thu Sep 24 10:00:00 CEST 2020,0,1,0,1
Thu Sep 24 11:00:00 CEST 2020,0,1,0,1
Thu Sep 24 12:00:00 CEST 2020,0,1,0,1
Thu Sep 24 13:00:00 CEST 2020,0,1,0,1
Thu Sep 24 14:00:00 CEST 2020,0,1,0,1
Thu Sep 24 15:00:00 CEST 2020,0,1,0,1
Thu Sep 24 16:00:00 CEST 2020,0,1,0,1
Thu Sep 24 17:00:00 CEST 2020,0,1,0,1
Thu Sep 24 18:00:00 CEST 2020,0,1,0,1
Thu Sep 24 19:00:00 CEST 2020,0,1,0,1
Thu Sep 24 20:00:00 CEST 2020,0,1,1,1
Thu Sep 24 21:00:00 CEST 2020,0,1,1,1
Thu Sep 24 22:00:00 CEST 2020,0,1,1,1
Thu Sep 24 23:00:00 CEST 2020,0,1,1,1
Fri Sep 25 00:00:00 CEST 2020,0,1,1,1
Fri Sep 25 01:00:00 CEST 2020,0,1,1,1
Fri Sep 25 02:00:00 CEST 2020,0,1,1,1
Fri Sep 25 03:00:00 CEST 2020,0,1,1,1
