Time,Watering intensity,Shutters,UV-Lamps,Heating
Sat Aug 29 05:00:00 CEST 2020,0,1,1,1
Sat Aug 29 06:00:00 CEST 2020,0,1,0,1
Sat Aug 29 07:00:00 CEST 2020,0,1,0,1
Sat Aug 29 08:00:00 CEST 2020,0,1,0,1
Sat Aug 29 09:00:00 CEST 2020,0,1,0,1
Sat Aug 29 10:00:00 CEST 2020,0,1,0,1
Sat Aug 29 11:00:00 CEST 2020,0,1,0,1
Sat Aug 29 12:00:00 CEST 2020,0,1,0,1
Sat Aug 29 13:00:00 CEST 2020,0,1,0,1
Sat Aug 29 14:00:00 CEST 2020,0,1,0,1
Sat Aug 29 15:00:00 CEST 2020,0,1,0,1
Sat Aug 29 16:00:00 CEST 2020,0,1,0,1
Sat Aug 29 17:00:00 CEST 2020,0,1,0,1
Sat Aug 29 18:00:00 CEST 2020,0,1,0,1
Sat Aug 29 19:00:00 CEST 2020,0,1,0,1
Sat Aug 29 20:00:00 CEST 2020,0,1,0,1
Sat Aug 29 21:00:00 CEST 2020,0,1,1,1
Sat Aug 29 22:00:00 CEST 2020,0,1,1,1
Sat Aug 29 23:00:00 CEST 2020,0,1,1,1
Sun Aug 30 00:00:00 CEST 2020,0,1,1,1
Sun Aug 30 01:00:00 CEST 2020,0,1,1,1
Sun Aug 30 02:00:00 CEST 2020,0,1,1,1
Sun Aug 30 03:00:00 CEST 2020,0,1,1,1
Sun Aug 30 04:00:00 CEST 2020,0,1,1,1
Sun Aug 30 05:00:00 CEST 2020,0,1,0,1
Sun Aug 30 06:00:00 CEST 2020,0,1,0,1
Sun Aug 30 07:00:00 CEST 2020,0,1,0,1
Sun Aug 30 08:00:00 CEST 2020,0,1,0,1
Sun Aug 30 09:00:00 CEST 2020,0,1,0,1
Sun Aug 30 10:00:00 CEST 2020,0,1,0,1
Sun Aug 30 11:00:00 CEST 2020,0,1,0,1
Sun Aug 30 12:00:00 CEST 2020,0,1,0,1
Sun Aug 30 13:00:00 CEST 2020,0,1,0,1
Sun Aug 30 14:00:00 CEST 2020,0,1,0,1
Sun Aug 30 15:00:00 CEST 2020,0,1,0,1
Sun Aug 30 16:00:00 CEST 2020,0,1,0,1
Sun Aug 30 17:00:00 CEST 2020,0,1,0,1
Sun Aug 30 18:00:00 CEST 2020,0,1,0,1
Sun Aug 30 19:00:00 CEST 2020,0,1,0,1
Sun Aug 30 20:00:00 CEST 2020,0,1,0,1
Sun Aug 30 21:00:00 CEST 2020,0,1,1,1
Sun Aug 30 22:00:00 CEST 2020,0,1,1,1
Sun Aug 30 23:00:00 CEST 2020,0,1,1,1
Mon Aug 31 00:00:00 CEST 2020,0,1,1,1
Mon Aug 31 01:00:00 CEST 2020,0,1,1,1
Mon Aug 31 02:00:00 CEST 2020,0,1,1,1
Mon Aug 31 03:00:00 CEST 2020,0,1,1,1
Mon Aug 31 04:00:00 CEST 2020,0,1,1,1
Mon Aug 31 05:00:00 CEST 2020,0,1,0,1
Mon Aug 31 06:00:00 CEST 2020,0,1,0,1
Mon Aug 31 07:00:00 CEST 2020,0,1,0,1
Mon Aug 31 08:00:00 CEST 2020,0,1,0,1
Mon Aug 31 09:00:00 CEST 2020,0,1,0,1
Mon Aug 31 10:00:00 CEST 2020,0,1,0,1
Mon Aug 31 11:00:00 CEST 2020,0,1,0,1
Mon Aug 31 12:00:00 CEST 2020,0,1,0,1
Mon Aug 31 13:00:00 CEST 2020,0,1,0,1
Mon Aug 31 14:00:00 CEST 2020,0,1,0,1
