Time,Watering intensity,Shutters,UV-Lamps,Heating
Tue Nov 10 20:00:00 CET 2020,0,1,1,1
Tue Nov 10 21:00:00 CET 2020,0,1,1,1
Tue Nov 10 22:00:00 CET 2020,0,1,1,1
Tue Nov 10 23:00:00 CET 2020,0,1,1,1
Wed Nov 11 00:00:00 CET 2020,0,1,1,1
Wed Nov 11 01:00:00 CET 2020,0,1,1,1
Wed Nov 11 02:00:00 CET 2020,0,1,1,1
Wed Nov 11 03:00:00 CET 2020,0,1,0,1
Wed Nov 11 04:00:00 CET 2020,0,1,0,1
Wed Nov 11 05:00:00 CET 2020,0,1,0,1
Wed Nov 11 06:00:00 CET 2020,0,1,0,1
Wed Nov 11 07:00:00 CET 2020,0,1,0,1
Wed Nov 11 08:00:00 CET 2020,0,1,0,1
Wed Nov 11 09:00:00 CET 2020,0,1,0,1
Wed Nov 11 10:00:00 CET 2020,0,1,0,1
Wed Nov 11 11:00:00 CET 2020,0,1,0,1
Wed Nov 11 12:00:00 CET 2020,0,1,0,1
Wed Nov 11 13:00:00 CET 2020,0,1,0,1
Wed Nov 11 14:00:00 CET 2020,0,1,0,1
Wed Nov 11 15:00:00 CET 2020,0,1,0,1
Wed Nov 11 16:00:00 CET 2020,0,1,0,1
Wed Nov 11 17:00:00 CET 2020,0,1,1,1
Wed Nov 11 18:00:00 CET 2020,0,1,1,1
Wed Nov 11 19:00:00 CET 2020,0,1,1,1
Wed Nov 11 20:00:00 CET 2020,0,1,1,1
Wed Nov 11 21:00:00 CET 2020,0,1,1,1
Wed Nov 11 22:00:00 CET 2020,0,1,1,1
Wed Nov 11 23:00:00 CET 2020,0,1,1,1
Thu Nov 12 00:00:00 CET 2020,0,1,1,1
Thu Nov 12 01:00:00 CET 2020,0,1,0,1
Thu Nov 12 02:00:00 CET 2020,0,1,0,1
Thu Nov 12 03:00:00 CET 2020,0,1,0,1
Thu Nov 12 04:00:00 CET 2020,0,1,0,1
Thu Nov 12 05:00:00 CET 2020,0,1,0,1
Thu Nov 12 06:00:00 CET 2020,0,1,0,1
Thu Nov 12 07:00:00 CET 2020,0,1,0,1
Thu Nov 12 08:00:00 CET 2020,0,1,0,1
Thu Nov 12 09:00:00 CET 2020,0,1,0,1
Thu Nov 12 10:00:00 CET 2020,0,1,0,1
Thu Nov 12 11:00:00 CET 2020,0,1,0,1
Thu Nov 12 12:00:00 CET 2020,0,1,0,1
Thu Nov 12 13:00:00 CET 2020,0,1,0,1
Thu Nov 12 14:00:00 CET 2020,0,1,0,1
Thu Nov 12 15:00:00 CET 2020,0,1,0,1
Thu Nov 12 16:00:00 CET 2020,0,1,0,1
Thu Nov 12 17:00:00 CET 2020,0,1,1,1
Thu Nov 12 18:00:00 CET 2020,0,1,1,1
Thu Nov 12 19:00:00 CET 2020,0,1,1,1
Thu Nov 12 20:00:00 CET 2020,0,1,1,1
Thu Nov 12 21:00:00 CET 2020,0,1,1,1
Thu Nov 12 22:00:00 CET 2020,0,1,1,1
Thu Nov 12 23:00:00 CET 2020,0,1,1,1
Fri Nov 13 00:00:00 CET 2020,0,1,0,1
Fri Nov 13 01:00:00 CET 2020,0,1,0,1
Fri Nov 13 02:00:00 CET 2020,0,1,0,1
Fri Nov 13 03:00:00 CET 2020,0,1,0,1
