Time,Watering intensity,Shutters,UV-Lamps,Heating
Sat Oct 24 09:00:00 CEST 2020,0,1,0,1
Sat Oct 24 10:00:00 CEST 2020,0,1,0,1
Sat Oct 24 11:00:00 CEST 2020,0,1,0,1
Sat Oct 24 12:00:00 CEST 2020,0,1,0,1
Sat Oct 24 13:00:00 CEST 2020,0,1,0,1
Sat Oct 24 14:00:00 CEST 2020,0,1,0,1
Sat Oct 24 15:00:00 CEST 2020,0,1,0,1
Sat Oct 24 16:00:00 CEST 2020,0,1,0,1
Sat Oct 24 17:00:00 CEST 2020,0,1,0,1
Sat Oct 24 18:00:00 CEST 2020,0,1,0,1
Sat Oct 24 19:00:00 CEST 2020,0,1,0,1
Sat Oct 24 20:00:00 CEST 2020,0,1,0,1
Sat Oct 24 21:00:00 CEST 2020,0,1,0,1
Sat Oct 24 22:00:00 CEST 2020,0,1,0,1
Sat Oct 24 23:00:00 CEST 2020,0,1,0,1
Sun Oct 25 00:00:00 CEST 2020,0,1,0,1
Sun Oct 25 01:00:00 CEST 2020,0,1,0,1
Sun Oct 25 02:00:00 CEST 2020,0,1,0,1
Sun Oct 25 02:00:00 CET 2020,0,1,0,1
Sun Oct 25 03:00:00 CET 2020,0,1,0,1
Sun Oct 25 04:00:00 CET 2020,0,1,0,1
Sun Oct 25 05:00:00 CET 2020,0,1,0,1
Sun Oct 25 06:00:00 CET 2020,0,1,1,1
Sun Oct 25 07:00:00 CET 2020,0,1,0,1
Sun Oct 25 08:00:00 CET 2020,0,1,0,1
Sun Oct 25 09:00:00 CET 2020,0,1,0,1
Sun Oct 25 10:00:00 CET 2020,0,1,0,1
Sun Oct 25 11:00:00 CET 2020,0,1,0,1
Sun Oct 25 12:00:00 CET 2020,0,1,0,1
Sun Oct 25 13:00:00 CET 2020,0,1,0,1
Sun Oct 25 14:00:00 CET 2020,0,1,0,1
Sun Oct 25 15:00:00 CET 2020,0,1,0,1
Sun Oct 25 16:00:00 CET 2020,0,1,0,1
Sun Oct 25 17:00:00 CET 2020,0,1,0,1
Sun Oct 25 18:00:00 CET 2020,0,1,0,1
