Time,Watering intensity,Shutters,UV-Lamps,Heating
Sun Sep 06 08:00:00 CEST 2020,0,1,0,1
Sun Sep 06 09:00:00 CEST 2020,0,1,0,1
Sun Sep 06 10:00:00 CEST 2020,0,1,0,1
Sun Sep 06 11:00:00 CEST 2020,0,0,0,1
Sun Sep 06 12:00:00 CEST 2020,0,1,0,1
Sun Sep 06 13:00:00 CEST 2020,0,1,0,1
Sun Sep 06 14:00:00 CEST 2020,0,1,0,1
Sun Sep 06 15:00:00 CEST 2020,0,1,0,1
Sun Sep 06 16:00:00 CEST 2020,0,0,0,1
Sun Sep 06 17:00:00 CEST 2020,0,0,0,1
Sun Sep 06 18:00:00 CEST 2020,0,0,0,1
Sun Sep 06 19:00:00 CEST 2020,0,1,0,1
Sun Sep 06 20:00:00 CEST 2020,0,0,1,1
Sun Sep 06 21:00:00 CEST 2020,0,1,1,1
Sun Sep 06 22:00:00 CEST 2020,0,1,1,1
Sun Sep 06 23:00:00 CEST 2020,0,1,1,1
Mon Sep 07 00:00:00 CEST 2020,0,1,1,1
Mon Sep 07 01:00:00 CEST 2020,0,1,1,1
Mon Sep 07 02:00:00 CEST 2020,0,1,1,1
Mon Sep 07 03:00:00 CEST 2020,0,1,0,1
Mon Sep 07 04:00:00 CEST 2020,0,1,0,1
Mon Sep 07 05:00:00 CEST 2020,0,1,0,1
Mon Sep 07 06:00:00 CEST 2020,0,1,0,1
Mon Sep 07 07:00:00 CEST 2020,0,0,0,1
Mon Sep 07 08:00:00 CEST 2020,0,1,0,1
Mon Sep 07 09:00:00 CEST 2020,0,0,0,1
Mon Sep 07 10:00:00 CEST 2020,0,1,0,1
Mon Sep 07 11:00:00 CEST 2020,0,1,0,1
Mon Sep 07 12:00:00 CEST 2020,0,1,0,1
Mon Sep 07 13:00:00 CEST 2020,0,1,0,1
Mon Sep 07 14:00:00 CEST 2020,0,0,0,1
Mon Sep 07 15:00:00 CEST 2020,0,1,0,1
Mon Sep 07 16:00:00 CEST 2020,0,1,0,1
Mon Sep 07 17:00:00 CEST 2020,0,1,0,1
Mon Sep 07 18:00:00 CEST 2020,0,0,0,1
Mon Sep 07 19:00:00 CEST 2020,0,1,0,1
Mon Sep 07 20:00:00 CEST 2020,0,1,0,1
Mon Sep 07 21:00:00 CEST 2020,0,1,0,1
Mon Sep 07 22:00:00 CEST 2020,0,1,0,1
Mon Sep 07 23:00:00 CEST 2020,0,1,0,1
Tue Sep 08 00:00:00 CEST 2020,1,1,0,1
Tue Sep 08 01:00:00 CEST 2020,0,0,0,1
Tue Sep 08 02:00:00 CEST 2020,0,1,0,1
Tue Sep 08 03:00:00 CEST 2020,0,1,0,1
Tue Sep 08 04:00:00 CEST 2020,1,1,0,1
Tue Sep 08 05:00:00 CEST 2020,0,1,0,1
Tue Sep 08 06:00:00 CEST 2020,0,1,0,1
Tue Sep 08 07:00:00 CEST 2020,0,1,0,1
Tue Sep 08 08:00:00 CEST 2020,0,0,0,1
Tue Sep 08 09:00:00 CEST 2020,0,1,0,1
Tue Sep 08 10:00:00 CEST 2020,0,1,0,1
Tue Sep 08 11:00:00 CEST 2020,0,0,0,1
Tue Sep 08 12:00:00 CEST 2020,0,1,0,1
Tue Sep 08 13:00:00 CEST 2020,0,1,0,1
Tue Sep 08 14:00:00 CEST 2020,0,1,0,1
Tue Sep 08 15:00:00 CEST 2020,0,0,0,1
Tue Sep 08 16:00:00 CEST 2020,0,1,0,1
Tue Sep 08 17:00:00 CEST 2020,0,0,0,1
Tue Sep 08 18:00:00 CEST 2020,0,0,0,1
Tue Sep 08 19:00:00 CEST 2020,0,1,0,1
Tue Sep 08 20:00:00 CEST 2020,0,1,0,1
Tue Sep 08 21:00:00 CEST 2020,0,1,0,1
Tue Sep 08 22:00:00 CEST 2020,0,1,0,1
Tue Sep 08 23:00:00 CEST 2020,0,0,0,1
Wed Sep 09 00:00:00 CEST 2020,0,1,0,1
Wed Sep 09 01:00:00 CEST 2020,0,1,0,1
Wed Sep 09 02:00:00 CEST 2020,0,0,0,1
Wed Sep 09 03:00:00 CEST 2020,0,1,0,1
Wed Sep 09 04:00:00 CEST 2020,0,1,0,1
Wed Sep 09 05:00:00 CEST 2020,0,0,0,1
Wed Sep 09 06:00:00 CEST 2020,0,1,0,1
Wed Sep 09 07:00:00 CEST 2020,0,1,0,1
Wed Sep 09 08:00:00 CEST 2020,0,1,0,1
Wed Sep 09 09:00:00 CEST 2020,0,0,0,1
Wed Sep 09 10:00:00 CEST 2020,0,1,0,1
Wed Sep 09 11:00:00 CEST 2020,0,1,0,1
Wed Sep 09 12:00:00 CEST 2020,0,1,0,1
Wed Sep 09 13:00:00 CEST 2020,0,0,0,1
Wed Sep 09 14:00:00 CEST 2020,0,1,0,1
Wed Sep 09 15:00:00 CEST 2020,0,1,0,1
Wed Sep 09 16:00:00 CEST 2020,0,1,0,1
Wed Sep 09 17:00:00 CEST 2020,0,1,0,1
Wed Sep 09 18:00:00 CEST 2020,0,1,0,1
Wed Sep 09 19:00:00 CEST 2020,0,1,0,1
Wed Sep 09 20:00:00 CEST 2020,0,1,0,1
Wed Sep 09 21:00:00 CEST 2020,0,0,0,1
Wed Sep 09 22:00:00 CEST 2020,0,1,0,1
Wed Sep 09 23:00:00 CEST 2020,0,0,0,1
Thu Sep 10 00:00:00 CEST 2020,0,1,0,1
Thu Sep 10 01:00:00 CEST 2020,0,1,0,1
Thu Sep 10 02:00:00 CEST 2020,0,1,0,1
Thu Sep 10 03:00:00 CEST 2020,0,1,0,1
Thu Sep 10 04:00:00 CEST 2020,0,1,0,1
Thu Sep 10 05:00:00 CEST 2020,0,1,0,1
Thu Sep 10 06:00:00 CEST 2020,0,1,0,1
Thu Sep 10 07:00:00 CEST 2020,0,1,0,1
