Time,Watering intensity,Shutters,UV-Lamps,Heating
Sun Aug 30 07:00:00 CEST 2020,0,1,0,1
Sun Aug 30 08:00:00 CEST 2020,0,1,0,1
Sun Aug 30 09:00:00 CEST 2020,0,1,0,1
Sun Aug 30 10:00:00 CEST 2020,0,1,0,1
Sun Aug 30 11:00:00 CEST 2020,0,1,0,1
Sun Aug 30 12:00:00 CEST 2020,0,1,0,1
Sun Aug 30 13:00:00 CEST 2020,0,1,0,1
Sun Aug 30 14:00:00 CEST 2020,0,1,0,1
Sun Aug 30 15:00:00 CEST 2020,0,1,0,1
Sun Aug 30 16:00:00 CEST 2020,0,1,0,1
Sun Aug 30 17:00:00 CEST 2020,0,1,0,1
Sun Aug 30 18:00:00 CEST 2020,0,1,0,1
Sun Aug 30 19:00:00 CEST 2020,0,1,0,1
Sun Aug 30 20:00:00 CEST 2020,0,1,0,1
Sun Aug 30 21:00:00 CEST 2020,0,1,1,1
Sun Aug 30 22:00:00 CEST 2020,0,1,1,1
Sun Aug 30 23:00:00 CEST 2020,0,1,1,1
Mon Aug 31 00:00:00 CEST 2020,0,1,1,1
Mon Aug 31 01:00:00 CEST 2020,0,1,1,1
Mon Aug 31 02:00:00 CEST 2020,0,1,1,1
Mon Aug 31 03:00:00 CEST 2020,0,1,1,1
Mon Aug 31 04:00:00 CEST 2020,0,1,0,1
Mon Aug 31 05:00:00 CEST 2020,0,1,0,1
Mon Aug 31 06:00:00 CEST 2020,0,1,0,1
Mon Aug 31 07:00:00 CEST 2020,0,1,0,1
Mon Aug 31 08:00:00 CEST 2020,0,1,0,1
Mon Aug 31 09:00:00 CEST 2020,0,1,0,1
Mon Aug 31 10:00:00 CEST 2020,0,1,0,1
Mon Aug 31 11:00:00 CEST 2020,0,1,0,1
Mon Aug 31 12:00:00 CEST 2020,0,1,0,1
Mon Aug 31 13:00:00 CEST 2020,0,1,0,1
Mon Aug 31 14:00:00 CEST 2020,0,1,0,1
Mon Aug 31 15:00:00 CEST 2020,0,1,0,1
Mon Aug 31 16:00:00 CEST 2020,0,1,0,1
Mon Aug 31 17:00:00 CEST 2020,0,1,0,1
Mon Aug 31 18:00:00 CEST 2020,0,1,0,1
Mon Aug 31 19:00:00 CEST 2020,0,1,0,1
Mon Aug 31 20:00:00 CEST 2020,0,1,0,1
Mon Aug 31 21:00:00 CEST 2020,0,1,1,1
Mon Aug 31 22:00:00 CEST 2020,0,1,1,1
Mon Aug 31 23:00:00 CEST 2020,0,1,1,1
Tue Sep 01 00:00:00 CEST 2020,0,1,1,1
Tue Sep 01 01:00:00 CEST 2020,0,1,0,1
Tue Sep 01 02:00:00 CEST 2020,0,1,0,1
Tue Sep 01 03:00:00 CEST 2020,0,1,0,1
Tue Sep 01 04:00:00 CEST 2020,0,1,0,1
Tue Sep 01 05:00:00 CEST 2020,0,1,0,1
Tue Sep 01 06:00:00 CEST 2020,0,1,0,1
Tue Sep 01 07:00:00 CEST 2020,0,1,0,1
Tue Sep 01 08:00:00 CEST 2020,0,1,0,1
Tue Sep 01 09:00:00 CEST 2020,0,1,0,1
Tue Sep 01 10:00:00 CEST 2020,0,1,0,1
Tue Sep 01 11:00:00 CEST 2020,0,1,0,1
Tue Sep 01 12:00:00 CEST 2020,0,1,0,1
Tue Sep 01 13:00:00 CEST 2020,0,1,0,1
Tue Sep 01 14:00:00 CEST 2020,0,1,0,1
Tue Sep 01 15:00:00 CEST 2020,0,1,0,1
Tue Sep 01 16:00:00 CEST 2020,0,1,0,1
Tue Sep 01 17:00:00 CEST 2020,0,1,0,1
Tue Sep 01 18:00:00 CEST 2020,0,1,0,1
Tue Sep 01 19:00:00 CEST 2020,0,1,0,1
Tue Sep 01 20:00:00 CEST 2020,0,1,0,1
Tue Sep 01 21:00:00 CEST 2020,0,1,1,1
Tue Sep 01 22:00:00 CEST 2020,0,1,1,1
Tue Sep 01 23:00:00 CEST 2020,0,1,1,1
Wed Sep 02 00:00:00 CEST 2020,0,1,1,1
Wed Sep 02 01:00:00 CEST 2020,0,1,1,1
Wed Sep 02 02:00:00 CEST 2020,0,1,1,1
Wed Sep 02 03:00:00 CEST 2020,0,1,0,1
Wed Sep 02 04:00:00 CEST 2020,0,1,0,1
Wed Sep 02 05:00:00 CEST 2020,0,1,0,1
Wed Sep 02 06:00:00 CEST 2020,0,1,0,1
Wed Sep 02 07:00:00 CEST 2020,0,1,0,1
Wed Sep 02 08:00:00 CEST 2020,0,1,0,1
Wed Sep 02 09:00:00 CEST 2020,0,1,0,1
Wed Sep 02 10:00:00 CEST 2020,0,1,0,1
Wed Sep 02 11:00:00 CEST 2020,0,1,0,1
Wed Sep 02 12:00:00 CEST 2020,0,1,0,1
Wed Sep 02 13:00:00 CEST 2020,0,1,0,1
Wed Sep 02 14:00:00 CEST 2020,0,1,0,1
Wed Sep 02 15:00:00 CEST 2020,0,1,0,1
Wed Sep 02 16:00:00 CEST 2020,0,1,0,1
Wed Sep 02 17:00:00 CEST 2020,0,1,0,1
Wed Sep 02 18:00:00 CEST 2020,0,1,0,1
Wed Sep 02 19:00:00 CEST 2020,0,1,0,1
Wed Sep 02 20:00:00 CEST 2020,0,1,0,1
Wed Sep 02 21:00:00 CEST 2020,0,1,1,1
