Time,Watering intensity,Shutters,UV-Lamps,Heating
Sun Sep 27 10:00:00 CEST 2020,0,1,0,1
Sun Sep 27 11:00:00 CEST 2020,0,1,0,1
Sun Sep 27 12:00:00 CEST 2020,0,1,0,1
Sun Sep 27 13:00:00 CEST 2020,0,1,0,1
Sun Sep 27 14:00:00 CEST 2020,0,1,0,1
Sun Sep 27 15:00:00 CEST 2020,0,1,0,1
Sun Sep 27 16:00:00 CEST 2020,0,1,0,1
Sun Sep 27 17:00:00 CEST 2020,0,1,0,1
Sun Sep 27 18:00:00 CEST 2020,0,1,0,1
Sun Sep 27 19:00:00 CEST 2020,0,1,0,1
Sun Sep 27 20:00:00 CEST 2020,0,1,1,1
Sun Sep 27 21:00:00 CEST 2020,0,1,1,1
Sun Sep 27 22:00:00 CEST 2020,0,1,1,1
Sun Sep 27 23:00:00 CEST 2020,0,1,1,1
Mon Sep 28 00:00:00 CEST 2020,0,1,1,1
Mon Sep 28 01:00:00 CEST 2020,0,1,0,1
Mon Sep 28 02:00:00 CEST 2020,0,1,0,1
Mon Sep 28 03:00:00 CEST 2020,0,1,0,1
Mon Sep 28 04:00:00 CEST 2020,0,1,0,1
Mon Sep 28 05:00:00 CEST 2020,0,1,0,1
Mon Sep 28 06:00:00 CEST 2020,0,1,0,1
Mon Sep 28 07:00:00 CEST 2020,0,1,0,1
Mon Sep 28 08:00:00 CEST 2020,0,1,0,1
Mon Sep 28 09:00:00 CEST 2020,0,1,0,1
Mon Sep 28 10:00:00 CEST 2020,0,1,0,1
Mon Sep 28 11:00:00 CEST 2020,0,1,0,1
Mon Sep 28 12:00:00 CEST 2020,0,1,0,1
Mon Sep 28 13:00:00 CEST 2020,0,1,0,1
Mon Sep 28 14:00:00 CEST 2020,0,1,0,1
Mon Sep 28 15:00:00 CEST 2020,0,1,0,1
Mon Sep 28 16:00:00 CEST 2020,0,1,0,1
Mon Sep 28 17:00:00 CEST 2020,0,1,0,1
Mon Sep 28 18:00:00 CEST 2020,0,1,0,1
Mon Sep 28 19:00:00 CEST 2020,0,0,0,1
Mon Sep 28 20:00:00 CEST 2020,0,1,0,1
Mon Sep 28 21:00:00 CEST 2020,0,1,0,1
Mon Sep 28 22:00:00 CEST 2020,0,1,0,1
Mon Sep 28 23:00:00 CEST 2020,0,1,0,1
Tue Sep 29 00:00:00 CEST 2020,0,1,0,1
Tue Sep 29 01:00:00 CEST 2020,0,1,0,1
Tue Sep 29 02:00:00 CEST 2020,0,1,0,1
Tue Sep 29 03:00:00 CEST 2020,0,1,0,1
Tue Sep 29 04:00:00 CEST 2020,0,1,0,1
Tue Sep 29 05:00:00 CEST 2020,0,1,0,1
Tue Sep 29 06:00:00 CEST 2020,0,1,0,1
Tue Sep 29 07:00:00 CEST 2020,0,1,0,1
Tue Sep 29 08:00:00 CEST 2020,0,1,0,1
Tue Sep 29 09:00:00 CEST 2020,0,1,0,1
Tue Sep 29 10:00:00 CEST 2020,0,1,0,1
Tue Sep 29 11:00:00 CEST 2020,0,1,0,1
