Time,Watering intensity,Shutters,UV-Lamps,Heating
Tue Aug 25 08:00:00 CEST 2020,0,1,0,1
Tue Aug 25 09:00:00 CEST 2020,0,1,0,1
Tue Aug 25 10:00:00 CEST 2020,0,1,0,1
Tue Aug 25 11:00:00 CEST 2020,0,1,0,1
Tue Aug 25 12:00:00 CEST 2020,0,1,0,1
Tue Aug 25 13:00:00 CEST 2020,0,1,0,1
Tue Aug 25 14:00:00 CEST 2020,0,1,0,1
Tue Aug 25 15:00:00 CEST 2020,0,1,0,1
Tue Aug 25 16:00:00 CEST 2020,0,1,0,1
Tue Aug 25 17:00:00 CEST 2020,0,1,0,1
Tue Aug 25 18:00:00 CEST 2020,0,1,0,1
Tue Aug 25 19:00:00 CEST 2020,0,1,0,1
Tue Aug 25 20:00:00 CEST 2020,0,1,0,1
Tue Aug 25 21:00:00 CEST 2020,0,1,1,1
Tue Aug 25 22:00:00 CEST 2020,0,1,1,1
Tue Aug 25 23:00:00 CEST 2020,0,1,1,1
Wed Aug 26 00:00:00 CEST 2020,0,1,1,1
Wed Aug 26 01:00:00 CEST 2020,0,1,1,1
Wed Aug 26 02:00:00 CEST 2020,0,1,0,1
Wed Aug 26 03:00:00 CEST 2020,0,1,0,1
Wed Aug 26 04:00:00 CEST 2020,0,1,0,1
Wed Aug 26 05:00:00 CEST 2020,0,1,0,1
Wed Aug 26 06:00:00 CEST 2020,0,1,0,1
Wed Aug 26 07:00:00 CEST 2020,0,1,0,1
Wed Aug 26 08:00:00 CEST 2020,0,1,0,1
Wed Aug 26 09:00:00 CEST 2020,0,1,0,1
Wed Aug 26 10:00:00 CEST 2020,0,1,0,1
Wed Aug 26 11:00:00 CEST 2020,0,1,0,1
Wed Aug 26 12:00:00 CEST 2020,0,1,0,1
Wed Aug 26 13:00:00 CEST 2020,0,1,0,1
Wed Aug 26 14:00:00 CEST 2020,0,1,0,0
Wed Aug 26 15:00:00 CEST 2020,0,1,0,0
Wed Aug 26 16:00:00 CEST 2020,0,1,0,0
Wed Aug 26 17:00:00 CEST 2020,0,1,0,0
Wed Aug 26 18:00:00 CEST 2020,0,1,0,1
Wed Aug 26 19:00:00 CEST 2020,0,1,0,1
Wed Aug 26 20:00:00 CEST 2020,0,1,0,1
Wed Aug 26 21:00:00 CEST 2020,0,1,0,1
Wed Aug 26 22:00:00 CEST 2020,0,1,0,1
