Time,Watering intensity,Shutters,UV-Lamps,Heating
Fri Aug 21 12:00:00 CEST 2020,0,1,0,0
Fri Aug 21 13:00:00 CEST 2020,0,1,0,0
Fri Aug 21 14:00:00 CEST 2020,0,1,0,0
Fri Aug 21 15:00:00 CEST 2020,0,1,0,0
Fri Aug 21 16:00:00 CEST 2020,0,1,0,0
Fri Aug 21 17:00:00 CEST 2020,0,1,0,0
Fri Aug 21 18:00:00 CEST 2020,0,1,0,0
Fri Aug 21 19:00:00 CEST 2020,0,1,0,0
Fri Aug 21 20:00:00 CEST 2020,0,1,0,0
Fri Aug 21 21:00:00 CEST 2020,0,1,0,0
Fri Aug 21 22:00:00 CEST 2020,0,1,0,0
Fri Aug 21 23:00:00 CEST 2020,0,1,0,0
Sat Aug 22 00:00:00 CEST 2020,0,1,0,0
Sat Aug 22 01:00:00 CEST 2020,0,1,0,1
Sat Aug 22 02:00:00 CEST 2020,0,1,0,1
Sat Aug 22 03:00:00 CEST 2020,0,1,0,1
Sat Aug 22 04:00:00 CEST 2020,0,1,0,1
Sat Aug 22 05:00:00 CEST 2020,0,1,0,1
Sat Aug 22 06:00:00 CEST 2020,0,1,0,1
Sat Aug 22 07:00:00 CEST 2020,0,1,0,1
Sat Aug 22 08:00:00 CEST 2020,0,1,0,1
Sat Aug 22 09:00:00 CEST 2020,0,1,0,1
Sat Aug 22 10:00:00 CEST 2020,0,1,0,1
Sat Aug 22 11:00:00 CEST 2020,0,1,0,1
Sat Aug 22 12:00:00 CEST 2020,0,1,0,1
Sat Aug 22 13:00:00 CEST 2020,0,1,0,1
Sat Aug 22 14:00:00 CEST 2020,0,1,0,1
Sat Aug 22 15:00:00 CEST 2020,0,1,0,1
Sat Aug 22 16:00:00 CEST 2020,0,1,0,1
Sat Aug 22 17:00:00 CEST 2020,0,1,0,1
Sat Aug 22 18:00:00 CEST 2020,0,1,0,0
Sat Aug 22 19:00:00 CEST 2020,0,1,0,1
Sat Aug 22 20:00:00 CEST 2020,0,1,0,1
Sat Aug 22 21:00:00 CEST 2020,0,1,1,1
Sat Aug 22 22:00:00 CEST 2020,0,1,1,1
Sat Aug 22 23:00:00 CEST 2020,0,1,1,1
Sun Aug 23 00:00:00 CEST 2020,0,1,0,1
Sun Aug 23 01:00:00 CEST 2020,0,1,0,1
Sun Aug 23 02:00:00 CEST 2020,0,1,0,1
Sun Aug 23 03:00:00 CEST 2020,0,1,0,1
Sun Aug 23 04:00:00 CEST 2020,0,1,0,1
Sun Aug 23 05:00:00 CEST 2020,0,1,0,1
Sun Aug 23 06:00:00 CEST 2020,0,1,0,1
Sun Aug 23 07:00:00 CEST 2020,0,1,0,1
Sun Aug 23 08:00:00 CEST 2020,0,1,0,1
Sun Aug 23 09:00:00 CEST 2020,0,1,0,1
Sun Aug 23 10:00:00 CEST 2020,0,1,0,1
Sun Aug 23 11:00:00 CEST 2020,0,1,0,1
Sun Aug 23 12:00:00 CEST 2020,0,1,0,1
Sun Aug 23 13:00:00 CEST 2020,0,1,0,1
Sun Aug 23 14:00:00 CEST 2020,0,1,0,1
